Name,Position,Club,League,Pace,Shooting,Passing,Dribbling,Defense,Physical,Card Rating,Weak Foot,Skill Moves,Work Rates,Strong Foot,Futhead Card Link
Pelé, CAM , Icons , Icons ,95,96,93,96,60,76,98,4,5,High/Medium,Right,https://www.futhead.com/20/players/16992/pele/
David Silva, CAM , Manchester City , England Premier League ,91,93,98,99,64,73,97,3,4,High/Medium,Left,https://www.futhead.com/20/players/22233/david-silva/
Wissam Ben Yedder, ST , AS Monaco , France Ligue ,97,97,94,98,52,84,97,5,4,High/Medium,Left,https://www.futhead.com/20/players/22101/wissam-ben-yedder/
Luis Alberto, CM , Lazio , Italy Serie A ,91,96,97,98,72,79,97,3,4,Medium/Medium,Right,https://www.futhead.com/20/players/22037/luis-alberto/
Timo Werner, ST , RB Leipzig , Germany Bundesliga ,99,98,90,96,47,86,97,4,3,High/Medium,Right,https://www.futhead.com/20/players/21969/timo-werner/
Luis Suárez, ST , FC Barcelona , Spain Primera Division ,91,99,93,96,59,95,97,4,3,High/Medium,Right,https://www.futhead.com/20/players/21922/luis-suarez/
Karim Benzema, CF , Real Madrid , Spain Primera Division ,92,98,95,96,48,94,97,4,4,Medium/Low,Right,https://www.futhead.com/20/players/21919/karim-benzema/
Raphaël Varane, CB , Real Madrid , Spain Primera Division ,95,53,76,80,97,93,97,3,2,Medium/High,Right,https://www.futhead.com/20/players/21914/raphael-varane/
Mohamed Salah, RW , Liverpool , England Premier League ,99,97,95,97,53,84,97,3,4,High/Medium,Left,https://www.futhead.com/20/players/21877/mohamed-salah/
Lionel Messi, CAM , FC Barcelona , Spain Primera Division ,92,95,95,99,44,72,97,4,4,High/Low,Left,https://www.futhead.com/20/players/21767/lionel-messi/
Lionel Messi, RW , FC Barcelona , Spain Primera Division ,92,95,95,99,43,71,97,4,4,High/Low,Left,https://www.futhead.com/20/players/21307/lionel-messi/
Zinedine Zidane, CAM , Icons , Icons ,87,96,97,96,76,88,97,5,5,Medium/Medium,Right,https://www.futhead.com/20/players/20266/zinedine-zidane/
Ronaldo, ST , Icons , Icons ,98,97,82,98,46,82,97,5,5,Medium/Medium,Right,https://www.futhead.com/20/players/20112/ronaldo/
Robert Lewandowski, ST , Bayern M nchen , Germany Bundesliga ,90,98,89,95,49,91,97,4,4,High/Medium,Right,https://www.futhead.com/20/players/18801/robert-lewandowski/
N'Golo Kanté, CDM , Chelsea , England Premier League ,91,88,95,95,97,93,97,3,2,Medium/High,Right,https://www.futhead.com/20/players/18669/ngolo-kante/
Sadio Mané, LW , Liverpool , England Premier League ,99,95,92,97,57,88,97,4,4,High/Medium,Right,https://www.futhead.com/20/players/18664/sadio-mane/
Diego Maradona, CAM , Icons , Icons ,92,93,92,97,40,76,97,3,5,High/Medium,Left,https://www.futhead.com/20/players/16993/diego-maradona/
Kevin De Bruyne, CM , Manchester City , England Premier League ,84,94,97,94,67,86,96,5,4,High/High,Right,https://www.futhead.com/20/players/22263/kevin-de-bruyne/
Aduriz, ST , Athletic Club de Bilbao , Spain Primera Division ,93,97,87,96,63,98,96,4,3,High/Medium,Right,https://www.futhead.com/20/players/22234/aduriz/
Luka Modrić, CM , Real Madrid , Spain Primera Division ,87,87,97,98,88,86,96,4,4,High/High,Right,https://www.futhead.com/20/players/22172/luka-modric/
Carlos Vela, RW , Los Angeles FC , USA Major League Soccer ,96,97,95,98,44,85,96,3,4,High/Low,Left,https://www.futhead.com/20/players/22136/carlos-vela/
Ángel Di María, RW , Paris Saint Germain , France Ligue ,97,96,98,97,56,80,96,3,5,High/Medium,Left,https://www.futhead.com/20/players/22102/angel-di-maria/
Hakim Ziyech, CAM , Ajax , Holland Eredivisie ,92,95,99,96,64,84,96,3,5,High/Medium,Left,https://www.futhead.com/20/players/22063/hakim-ziyech/
Ciro Immobile, ST , Lazio , Italy Serie A ,93,98,80,95,48,91,96,4,3,High/Medium,Right,https://www.futhead.com/20/players/22055/ciro-immobile/
Lautaro Martínez, ST , Inter , Italy Serie A ,96,96,88,98,60,98,96,4,4,High/Medium,Right,https://www.futhead.com/20/players/22045/lautaro-martinez/
Alejandro Gómez, CAM , Atalanta , Italy Serie A ,98,94,97,99,60,77,96,4,4,High/Medium,Right,https://www.futhead.com/20/players/22036/alejandro-gomez/
Josip Iličić, ST , Atalanta , Italy Serie A ,89,97,97,97,55,85,96,4,4,Medium/Medium,Left,https://www.futhead.com/20/players/22034/josip-ilicic/
Mats Hummels, CB , Borussia Dortmund , Germany Bundesliga ,76,70,92,89,98,94,96,3,3,High/Medium,Right,https://www.futhead.com/20/players/21970/mats-hummels/
Joshua Kimmich, CDM , Bayern M nchen , Germany Bundesliga ,87,88,97,95,90,88,96,4,3,High/Low,Right,https://www.futhead.com/20/players/21965/joshua-kimmich/
Jadon Sancho, RF , Borussia Dortmund , Germany Bundesliga ,98,92,94,98,47,77,96,4,5,Medium/Low,Right,https://www.futhead.com/20/players/21964/jadon-sancho/
Toni Kroos, CM , Real Madrid , Spain Primera Division ,81,90,98,96,86,86,96,5,3,Medium/Medium,Right,https://www.futhead.com/20/players/21924/toni-kroos/
Antoine Griezmann, LW , FC Barcelona , Spain Primera Division ,96,95,93,97,63,85,96,3,4,High/High,Left,https://www.futhead.com/20/players/21923/antoine-griezmann/
Nabil Fekir, CAM , Real Betis Balompi , Spain Primera Division ,93,96,93,99,45,91,96,3,4,High/Medium,Left,https://www.futhead.com/20/players/21915/nabil-fekir/
Sergio Ramos, CB , Real Madrid , Spain Primera Division ,91,80,85,84,97,94,96,3,3,High/Medium,Right,https://www.futhead.com/20/players/21912/sergio-ramos/
Sergio Agüero, ST , Manchester City , England Premier League ,95,97,89,98,40,89,96,4,4,High/Medium,Right,https://www.futhead.com/20/players/21879/sergio-aguero/
Pierre-Emerick Aubame..., ST , Arsenal , England Premier League ,99,98,90,95,45,84,96,4,4,Medium/Low,Right,https://www.futhead.com/20/players/21878/pierre-emerick-aubameyang/
Lionel Messi, CF , FC Barcelona , Spain Primera Division ,91,95,94,98,41,71,96,4,4,High/Low,Left,https://www.futhead.com/20/players/21099/lionel-messi/
Johan Cruyff, CF , Icons , Icons ,93,96,93,98,43,77,96,5,5,High/Low,Right,https://www.futhead.com/20/players/20111/johan-cruyff/
Matthijs de Ligt, CB , Piemonte Calcio , Italy Serie A ,85,75,86,88,96,96,96,4,2,Medium/High,Right,https://www.futhead.com/20/players/18697/matthijs-de-ligt/
Lionel Messi, RW , FC Barcelona , Spain Primera Division ,90,94,94,98,41,69,96,4,4,Medium/Low,Left,https://www.futhead.com/20/players/18406/lionel-messi/
Lionel Messi, RW , FC Barcelona , Spain Primera Division ,91,94,94,98,42,70,96,4,4,Medium/Low,Left,https://www.futhead.com/20/players/18352/lionel-messi/
Ronaldo, ST , Icons , Icons ,97,95,81,95,45,76,96,5,5,Medium/Medium,Right,https://www.futhead.com/20/players/16994/ronaldo/
Zinedine Zidane, CAM , Icons , Icons ,85,92,96,95,75,86,96,5,5,Medium/Medium,Right,https://www.futhead.com/20/players/2540/zinedine-zidane/
Robert Lewandowski, ST , Bayern M nchen , Germany Bundesliga ,87,96,84,92,47,89,95,4,4,High/Medium,Right,https://www.futhead.com/20/players/22559/robert-lewandowski/
N'Golo Kanté, CDM , Chelsea , England Premier League ,88,82,91,89,95,92,95,3,3,Medium/High,Right,https://www.futhead.com/20/players/22445/ngolo-kante/
Paul Pogba, CM , Manchester United , England Premier League ,88,93,95,95,81,93,95,4,5,High/Medium,Right,https://www.futhead.com/20/players/22435/paul-pogba/
Danilo, RB , Piemonte Calcio , Italy Serie A ,96,83,92,97,97,93,95,4,3,High/Medium,Right,https://www.futhead.com/20/players/22392/danilo/
Vinícius Jr., LW , Real Madrid , Spain Primera Division ,99,94,88,99,41,83,95,4,5,High/Medium,Right,https://www.futhead.com/20/players/22349/vinicius-jr/
Zlatan Ibrahimović, ST , Milan , Italy Serie A ,94,97,90,94,41,97,95,4,5,Medium/Low,Right,https://www.futhead.com/20/players/22291/zlatan-ibrahimovic/
Moussa Diaby, LM , Bayer Leverkusen , Germany Bundesliga ,99,91,93,97,57,77,95,4,4,High/Medium,Left,https://www.futhead.com/20/players/22253/moussa-diaby/
Mislav Oršić, LM , Dinamo Zagreb , Croatia PRva HNL ,99,96,93,95,73,84,95,4,3,High/High,Right,https://www.futhead.com/20/players/22173/mislav-orsic/
Dries Mertens, ST , Napoli , Italy Serie A ,96,95,93,98,45,66,95,4,4,High/Low,Right,https://www.futhead.com/20/players/22163/dries-mertens/
Carlos Tévez, ST , Buenos Aires , Argentina Primera Divisi n ,94,95,91,96,62,98,95,4,4,High/Low,Right,https://www.futhead.com/20/players/22125/carlos-tevez/
Marco Verratti, CM , Paris Saint Germain , France Ligue ,81,80,96,97,92,81,95,4,4,Medium/High,Right,https://www.futhead.com/20/players/22104/marco-verratti/
Thiago Silva, CB , Paris Saint Germain , France Ligue ,79,62,85,85,96,91,95,3,2,Medium/High,Right,https://www.futhead.com/20/players/22103/thiago-silva/
Paulinho, CM , Guangzhou Evergrande Taobao , China Super League ,85,94,89,92,87,95,95,4,4,High/High,Right,https://www.futhead.com/20/players/22074/paulinho/
Quincy Promes, LM , Ajax , Holland Eredivisie ,98,95,93,96,50,84,95,4,5,High/Medium,Right,https://www.futhead.com/20/players/22064/quincy-promes/
Romelu Lukaku, ST , Inter , Italy Serie A ,94,96,88,94,44,97,95,4,3,Medium/Medium,Left,https://www.futhead.com/20/players/22061/romelu-lukaku/
Stefan de Vrij, CB , Inter , Italy Serie A ,84,52,78,83,97,90,95,4,2,Medium/High,Right,https://www.futhead.com/20/players/22054/stefan-de-vrij/
Thomas Müller, CM , Bayern M nchen , Germany Bundesliga ,91,95,91,94,78,82,95,4,3,High/High,Right,https://www.futhead.com/20/players/21973/thomas-muller/
Marco Reus, CAM , Borussia Dortmund , Germany Bundesliga ,94,95,94,93,52,81,95,4,4,High/Medium,Right,https://www.futhead.com/20/players/21972/marco-reus/
Erling Braut Håland, ST , Borussia Dortmund , Germany Bundesliga ,97,97,89,94,54,97,95,4,3,High/Medium,Left,https://www.futhead.com/20/players/21971/erling-braut-haland/
Jamie Vardy, ST , Leicester City , England Premier League ,97,96,87,94,68,90,95,4,3,High/High,Right,https://www.futhead.com/20/players/21883/jamie-vardy/
Trent Alexander-Arnold, RB , Liverpool , England Premier League ,92,85,96,92,93,87,95,4,3,High/High,Right,https://www.futhead.com/20/players/21882/trent-alexander-arnold/
Heung Min Son, LM , Tottenham Hotspur , England Premier League ,96,95,94,96,51,81,95,5,4,High/High,Right,https://www.futhead.com/20/players/21881/heung-min-son/
Riyad Mahrez, RW , Manchester City , England Premier League ,95,94,95,97,50,77,95,4,5,High/Low,Left,https://www.futhead.com/20/players/21880/riyad-mahrez/
Kevin De Bruyne, CM , Manchester City , England Premier League ,82,93,96,92,66,84,95,5,4,High/High,Right,https://www.futhead.com/20/players/21451/kevin-de-bruyne/
Cristiano Ronaldo, RW , Piemonte Calcio , Italy Serie A ,94,94,85,91,39,82,95,4,5,High/Medium,Left,https://www.futhead.com/20/players/21176/cristiano-ronaldo/
Garrincha, RW , Icons , Icons ,92,90,96,97,42,73,95,4,5,High/Low,Right,https://www.futhead.com/20/players/20265/garrincha/
Paolo Maldini, CB , Icons , Icons ,88,60,77,70,99,85,95,4,2,Medium/High,Right,https://www.futhead.com/20/players/20264/paolo-maldini/
Thierry Henry, ST , Icons , Icons ,96,95,86,96,54,82,95,4,4,High/Medium,Right,https://www.futhead.com/20/players/20262/thierry-henry/
Ronaldinho, CAM , Icons , Icons ,95,93,94,98,38,83,95,4,5,High/Low,Right,https://www.futhead.com/20/players/20243/ronaldinho/
Neymar, CAM , Paris Saint Germain , France Ligue ,94,90,93,98,35,62,95,5,5,High/Medium,Right,https://www.futhead.com/20/players/18802/neymar/
Eden Hazard, LW , Real Madrid , Spain Primera Division ,94,92,92,97,39,71,95,4,4,High/Medium,Right,https://www.futhead.com/20/players/18714/eden-hazard/
Trent Alexander-Arnold, RB , Liverpool , England Premier League ,92,85,97,92,92,87,95,4,3,High/Medium,Right,https://www.futhead.com/20/players/18694/trent-alexander-arnold/
Lionel Messi, RW , FC Barcelona , Spain Primera Division ,88,93,93,97,40,67,95,4,4,Medium/Low,Left,https://www.futhead.com/20/players/18463/lionel-messi/
Lionel Messi, RW , FC Barcelona , Spain Primera Division ,89,93,93,97,40,68,95,4,4,Medium/Low,Left,https://www.futhead.com/20/players/18136/lionel-messi/
Diego Maradona, CAM , Icons , Icons ,88,91,90,95,42,75,95,3,5,High/Medium,Left,https://www.futhead.com/20/players/16996/diego-maradona/
Pelé, CF , Icons , Icons ,96,93,90,95,56,75,95,4,5,High/Medium,Right,https://www.futhead.com/20/players/16995/pele/
João Félix, CF , Atl tico de Madrid , Spain Primera Division ,95,94,88,95,54,84,94,4,5,High/Medium,Right,https://www.futhead.com/20/players/22594/joao-felix/
Mason Greenwood, CF , Manchester United , England Premier League ,93,94,88,95,61,86,94,5,3,Medium/Medium,Left,https://www.futhead.com/20/players/22593/mason-greenwood/
Joe Bryan, LB , Fulham , England EFL Championship ,95,88,93,92,90,92,94,4,3,High/Medium,Left,https://www.futhead.com/20/players/22591/joe-bryan/
Pablo Sarabia, CAM , Paris Saint Germain , France Ligue ,90,92,96,96,70,76,94,4,4,High/Medium,Left,https://www.futhead.com/20/players/22590/pablo-sarabia/
Rodrigo Palacio, ST , Bologna , Italy Serie A ,95,94,90,97,64,90,94,4,4,High/High,Right,https://www.futhead.com/20/players/22560/rodrigo-palacio/
Moussa Sissoko, CM , Tottenham Hotspur , England Premier League ,94,85,92,95,93,99,94,4,3,High/High,Right,https://www.futhead.com/20/players/22539/moussa-sissoko/
Thomas Delaney, CDM , Borussia Dortmund , Germany Bundesliga ,91,86,91,93,96,95,94,5,4,High/High,Left,https://www.futhead.com/20/players/22538/thomas-delaney/
Harry Kane, ST , Tottenham Hotspur , England Premier League ,82,97,88,88,52,88,94,4,3,High/High,Right,https://www.futhead.com/20/players/22457/harry-kane/
Christian Pulisic, LW , Chelsea , England Premier League ,99,91,92,98,51,76,94,4,4,High/Medium,Right,https://www.futhead.com/20/players/22441/christian-pulisic/
Arturo Vidal, CM , FC Barcelona , Spain Primera Division ,87,90,91,92,93,94,94,4,4,High/High,Right,https://www.futhead.com/20/players/22428/arturo-vidal/
Keita Baldé, RM , AS Monaco , France Ligue ,99,92,88,98,41,85,94,4,4,High/Low,Right,https://www.futhead.com/20/players/22390/keita-balde/
David Luiz, CB , Arsenal , England Premier League ,89,80,88,88,94,92,94,3,3,Medium/Medium,Right,https://www.futhead.com/20/players/22384/david-luiz/
Bernardo Silva, RW , Manchester City , England Premier League ,94,91,95,99,57,78,94,4,4,High/High,Left,https://www.futhead.com/20/players/22379/bernardo-silva/
Georginio Wijnaldum, CM , Liverpool , England Premier League ,92,90,95,95,86,91,94,3,4,High/High,Right,https://www.futhead.com/20/players/22378/georginio-wijnaldum/
Franck Ribéry, LM , Fiorentina , Italy Serie A ,97,92,93,96,39,87,94,5,5,High/Medium,Right,https://www.futhead.com/20/players/22333/franck-ribery/
Christian Eriksen, CAM , Inter , Italy Serie A ,88,95,96,95,60,75,94,5,5,High/High,Right,https://www.futhead.com/20/players/22294/christian-eriksen/
Takefusa Kubo, RM , RCD Mallorca , Spain Primera Division ,99,93,94,98,51,81,94,4,4,High/Medium,Left,https://www.futhead.com/20/players/22293/takefusa-kubo/
Bruno Fernandes, CAM , Manchester United , England Premier League ,92,94,96,96,75,84,94,5,4,High/High,Right,https://www.futhead.com/20/players/22284/bruno-fernandes/
Franck Yannick Kessié, CM , Milan , Italy Serie A ,87,91,92,92,92,96,94,4,4,High/High,Right,https://www.futhead.com/20/players/22251/franck-yannick-kessie/
Ivan Perišić, LM , Bayern M nchen , Germany Bundesliga ,96,93,90,96,72,88,94,5,4,Medium/Medium,Right,https://www.futhead.com/20/players/22250/ivan-perisic/
David Silva, CAM , Manchester City , England Premier League ,85,89,95,96,60,68,94,3,4,High/Medium,Left,https://www.futhead.com/20/players/22232/david-silva/
Jonathan David, CAM , AA Gent , Belgium Jupiler Pro League ,97,94,90,95,45,85,94,5,3,Medium/Medium,Right,https://www.futhead.com/20/players/22174/jonathan-david/
Josef Martínez, ST , Atlanta United FC , USA Major League Soccer ,99,95,80,95,40,89,94,4,4,High/Medium,Right,https://www.futhead.com/20/players/22137/josef-martinez/
Eduardo Salvio, RM , Buenos Aires , Argentina Primera Divisi n ,97,93,92,98,72,87,94,4,4,High/Medium,Right,https://www.futhead.com/20/players/22127/eduardo-salvio/
Ignacio Fernández, CM , N ez , Argentina Primera Divisi n ,90,90,95,95,85,88,94,2,4,High/Medium,Left,https://www.futhead.com/20/players/22126/ignacio-fernandez/
Renato Sanches, CM , LOSC Lille , France Ligue ,89,93,89,94,88,95,94,4,4,High/High,Right,https://www.futhead.com/20/players/22108/renato-sanches/
Marquinhos, CB , Paris Saint Germain , France Ligue ,86,50,86,85,95,91,94,3,3,Medium/High,Right,https://www.futhead.com/20/players/22107/marquinhos/
Memphis Depay, CF , Olympique Lyonnais , France Ligue ,96,94,93,95,43,89,94,3,5,High/Low,Right,https://www.futhead.com/20/players/22106/memphis-depay/
Houssem Aouar, CM , Olympique Lyonnais , France Ligue ,92,91,95,98,84,85,94,3,4,High/Medium,Right,https://www.futhead.com/20/players/22105/houssem-aouar/
Renato Augusto, CM , Beijing Sinobo Guoan , China Super League ,80,86,92,95,84,85,94,4,4,Medium/Medium,Right,https://www.futhead.com/20/players/22076/renato-augusto/
Hulk, RW , Shanghai SIPG , China Super League ,92,97,92,94,60,95,94,3,4,High/Medium,Left,https://www.futhead.com/20/players/22075/hulk/
Oussama Idrissi, LW , AZ , Holland Eredivisie ,99,91,89,98,48,86,94,3,4,High/Medium,Right,https://www.futhead.com/20/players/22066/oussama-idrissi/
Donny van de Beek, CDM , Ajax , Holland Eredivisie ,85,92,92,89,91,93,94,3,3,High/High,Right,https://www.futhead.com/20/players/22065/donny-van-de-beek/
Chris Smalling, CB , Roma , Italy Serie A ,87,59,79,77,94,96,94,3,2,Medium/High,Right,https://www.futhead.com/20/players/22041/chris-smalling/
Sergej Milinković-Savić, CM , Lazio , Italy Serie A ,83,91,91,95,89,96,94,4,4,High/Medium,Right,https://www.futhead.com/20/players/22038/sergej-milinkovic-savic/
Paulo Dybala, ST , Piemonte Calcio , Italy Serie A ,93,93,95,98,51,77,94,4,4,Medium/Medium,Left,https://www.futhead.com/20/players/22035/paulo-dybala/
Pizzi, RM , SL Benfica , Portugal Liga NOS ,90,90,94,94,72,81,94,4,3,High/Medium,Right,https://www.futhead.com/20/players/21990/pizzi/
Alex Telles, LB , FC Porto , Portugal Liga NOS ,96,82,95,93,94,88,94,2,3,High/High,Left,https://www.futhead.com/20/players/21989/alex-telles/
Kai Havertz, CAM , Bayer Leverkusen , Germany Bundesliga ,94,94,93,95,54,78,94,4,4,Medium/Medium,Left,https://www.futhead.com/20/players/21975/kai-havertz/
Filip Kostić, LM , Eintracht Frankfurt , Germany Bundesliga ,96,93,89,95,75,89,94,2,3,High/High,Left,https://www.futhead.com/20/players/21967/filip-kostic/
Frenkie de Jong, CM , FC Barcelona , Spain Primera Division ,88,85,93,97,89,88,94,3,4,Medium/High,Right,https://www.futhead.com/20/players/21927/frenkie-de-jong/
Carvajal, RB , Real Madrid , Spain Primera Division ,93,56,88,90,94,93,94,3,3,High/High,Right,https://www.futhead.com/20/players/21926/carvajal/
Santi Cazorla, CM , Villarreal CF , Spain Primera Division ,87,91,97,97,80,86,94,5,4,High/Low,Right,https://www.futhead.com/20/players/21910/santi-cazorla/
Marcus Rashford, LM , Manchester United , England Premier League ,98,94,88,93,52,89,94,3,5,High/High,Right,https://www.futhead.com/20/players/21884/marcus-rashford/
Jordan Henderson, CM , Liverpool , England Premier League ,84,89,95,90,93,94,94,3,3,High/High,Right,https://www.futhead.com/20/players/21870/jordan-henderson/
Andrew Robertson, LB , Liverpool , England Premier League ,94,74,94,92,92,90,94,2,3,High/High,Left,https://www.futhead.com/20/players/21866/andrew-robertson/
Robert Lewandowski, ST , Bayern M nchen , Germany Bundesliga ,85,95,82,91,46,88,94,4,4,High/Medium,Right,https://www.futhead.com/20/players/21745/robert-lewandowski/
Eden Hazard, ST , Real Madrid , Spain Primera Division ,93,90,90,96,38,70,94,4,5,High/Medium,Right,https://www.futhead.com/20/players/21656/eden-hazard/
Kylian Mbappé, ST , Paris Saint Germain , France Ligue ,99,92,88,95,45,84,94,5,5,High/Low,Right,https://www.futhead.com/20/players/21655/kylian-mbappe/
Neymar, LW , Paris Saint Germain , France Ligue ,93,89,91,97,34,60,94,5,5,High/Medium,Right,https://www.futhead.com/20/players/20970/neymar/
Andrea Pirlo, CM , Icons , Icons ,76,85,97,93,76,68,94,4,5,Medium/Medium,Right,https://www.futhead.com/20/players/20242/andrea-pirlo/
Carlos Alberto, RB , Icons , Icons ,92,70,82,88,92,89,94,4,3,High/Medium,Right,https://www.futhead.com/20/players/20241/carlos-alberto/
Kaká, CAM , Icons , Icons ,95,94,91,95,46,77,94,4,5,High/Medium,Right,https://www.futhead.com/20/players/20240/kaka/
Eusébio, CF , Icons , Icons ,97,99,87,95,46,80,94,5,4,High/Medium,Right,https://www.futhead.com/20/players/20239/eusebio/
Lothar Matthäus, CM , Icons , Icons ,91,92,92,84,92,87,94,4,3,High/High,Right,https://www.futhead.com/20/players/20238/lothar-matthaus/
Carles Puyol, CB , Icons , Icons ,73,46,70,61,98,94,94,3,2,Medium/High,Right,https://www.futhead.com/20/players/20237/carles-puyol/
Alessandro Del Piero, CAM , Icons , Icons ,86,96,92,94,46,70,94,5,4,High/Medium,Right,https://www.futhead.com/20/players/20236/alessandro-del-piero/
George Best, LW , Icons , Icons ,96,95,85,98,59,73,94,4,4,High/Medium,Right,https://www.futhead.com/20/players/20235/george-best/
Ruud Gullit, CF , Icons , Icons ,90,95,93,91,83,91,94,5,4,High/Medium,Right,https://www.futhead.com/20/players/20234/ruud-gullit/
Franco Baresi, CB , Icons , Icons ,74,50,78,75,97,84,94,3,2,Medium/High,Right,https://www.futhead.com/20/players/20233/franco-baresi/
Roberto Baggio, CF , Icons , Icons ,89,90,93,94,41,62,94,4,5,Medium/Low,Right,https://www.futhead.com/20/players/20232/roberto-baggio/
Javier Zanetti, CDM , Icons , Icons ,89,64,89,86,93,85,94,4,2,High/High,Right,https://www.futhead.com/20/players/20231/javier-zanetti/
Fabio Cannavaro, CB , Icons , Icons ,85,44,65,70,98,90,94,3,2,Medium/High,Right,https://www.futhead.com/20/players/20230/fabio-cannavaro/
Marco van Basten, ST , Icons , Icons ,86,95,77,91,39,80,94,4,3,Medium/Medium,Right,https://www.futhead.com/20/players/20229/marco-van-basten/
Ryan Giggs, LM , Icons , Icons ,94,86,91,93,45,68,94,2,3,High/Medium,Left,https://www.futhead.com/20/players/20228/ryan-giggs/
Mohamed Salah, RW , Liverpool , England Premier League ,97,91,90,93,50,80,94,3,4,High/Medium,Left,https://www.futhead.com/20/players/18800/mohamed-salah/
Andrew Robertson, LB , Liverpool , England Premier League ,94,75,94,91,92,89,94,2,3,High/High,Left,https://www.futhead.com/20/players/18698/andrew-robertson/
Frenkie de Jong, CM , FC Barcelona , Spain Primera Division ,88,87,93,95,88,90,94,3,4,Medium/High,Right,https://www.futhead.com/20/players/18668/frenkie-de-jong/
Kevin De Bruyne, CAM , Manchester City , England Premier League ,81,91,95,90,65,83,94,5,4,High/High,Right,https://www.futhead.com/20/players/18497/kevin-de-bruyne/
Cristiano Ronaldo, ST , Piemonte Calcio , Italy Serie A ,91,94,83,90,36,79,94,4,5,High/Low,Right,https://www.futhead.com/20/players/18462/cristiano-ronaldo/
Cristiano Ronaldo, LW , Piemonte Calcio , Italy Serie A ,91,94,84,90,36,80,94,4,5,High/Low,Right,https://www.futhead.com/20/players/18170/cristiano-ronaldo/
N'Golo Kanté, CDM , Chelsea , England Premier League ,85,71,85,88,93,90,94,3,2,Medium/High,Right,https://www.futhead.com/20/players/18089/ngolo-kante/
Lionel Messi, RW , FC Barcelona , Spain Primera Division ,87,92,92,96,39,66,94,4,4,Medium/Low,Left,https://www.futhead.com/20/players/17693/lionel-messi/
Ronaldinho, LW , Icons , Icons ,92,90,91,95,37,81,94,4,5,High/Low,Right,https://www.futhead.com/20/players/17001/ronaldinho/
Johan Cruyff, CF , Icons , Icons ,91,92,91,94,42,73,94,5,5,High/Low,Right,https://www.futhead.com/20/players/17000/johan-cruyff/
Paolo Maldini, CB , Icons , Icons ,86,56,75,69,96,83,94,4,2,Medium/High,Right,https://www.futhead.com/20/players/16998/paolo-maldini/
Ronaldo, ST , Icons , Icons ,93,93,80,93,46,80,94,5,5,Medium/Low,Right,https://www.futhead.com/20/players/16997/ronaldo/
Garrincha, RW , Icons , Icons ,90,87,94,96,41,68,94,4,5,Medium/Low,Right,https://www.futhead.com/20/players/2546/garrincha/
